PID,付费等级,客服,满意度,风险等级,红线,红线详情,准确性,准确性问题,上下文,上下文问题,完整性,完整性问题,态度,态度问题,总分,问题类型
751060435,P1,bingocs_bv,1,高,否,,4,,4,,2,未回应退款诉求,3,缺少安抚/道歉语,13,bug
801461526,P2,bingocs_bv,1,高,是,玩家说Apple，客服要Google订单,2,玩家反馈信息不准确,1,玩家愤怒：客服没看提供的信息,4,,4,,11,付费
544145379,P1,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,付费
696585344,P1,bingocs_bv,1,高,是,质疑玩家：暗示看错信息,4,,4,,4,,3,缺少安抚/道歉语,15,付费
954155048,P0,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,bug
386743177,P0,bingocs_bv,2,低,否,,4,,4,,4,,4,,16,bug
917205658,P1,bingocs_bv,1,高,否,,2,玩家反馈信息不准确,4,,4,,3,缺少安抚/道歉语,13,其他
313927813,P2,bingocs_bv,1,中,否,,4,,4,,3,只解释规则/原因，未提供解决方案,4,,15,bug
752952491,P1,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,付费
211658809,P2,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,bug
446010023,P1,bingocs_bv,1,中,否,,4,,4,,3,只解释规则/原因，未提供解决方案,3,缺少安抚/道歉语,14,bug
945362259,P1,bingocs_bv,1,低,否,,4,,4,,4,,4,,16,玩法
871657944,P1,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,bug
483078447,P1,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,bug
272404955,P0,bingocs_bv,1,中,否,,4,,4,,3,只解释规则/原因，未提供解决方案,4,,15,付费
394977654,P1,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,付费
213655067,P1,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,其他
897481817,P1,bingocs_bv,1,中,否,,4,,4,,3,只解释规则/原因，未提供解决方案,3,缺少安抚/道歉语,14,付费
313291066,P1,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,bug
623786597,P0,bingocs_bv,1,中,否,,4,,4,,4,,3,缺少安抚/道歉语,15,付费
395616390,P1,bingocs_bv,1,低,否,,4,,4,,4,,4,,16,bug
303240827,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
297653281,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
431527392,P3,bingocs_bv,,低,否,,4,,4,,4,,4,,16,其他
371045456,P0,bingocs_bf+pm,,低,否,,4,,4,,4,,4,,16,其他
100721170,P0,bingocs_bv,,低,否,,4,,4,,4,,4,,16,其他
471041179,P1,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,bug
909437381,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
131793174,P0,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,付费
829730859,P1,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,bug
635824038,P2,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
575626919,P0,bingocs_bv,,高,否,,4,,4,,2,未回应退款诉求,4,,14,bug
341287611,P1,bingocs_bf+pm,5,低,否,,4,,4,,4,,4,,16,bug
248986209,P0,bingocs_bv,,低,否,,4,,4,,4,,4,,16,玩法
340412489,P1,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,bug
135772761,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
276081042,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
784233381,P2,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
604860299,P2,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
470832263,P1,bingocs_bv,3,低,否,,4,,4,,4,,4,,16,付费
259825092,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
572550163,P1,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,bug
